cycle,year,dimension,level,outcome,n,n_cases,n_psu,pct_standardised,se_pct,ci_lo_pct,ci_hi_pct,pct_crude,design_dof,ci_crit,deff,n_effective
1999-2000,1999.5,Overall,All adults 20+,Any cardiovascular disease,4880,564,27,8.6920,0.6071,7.3898,9.9942,8.0208,14,2.1448,2.9195,1671.5
2001-2002,2001.5,Overall,All adults 20+,Any cardiovascular disease,5410,638,30,8.7557,0.5396,7.6056,9.9058,8.0928,15,2.1314,2.4637,2195.9
2003-2004,2003.5,Overall,All adults 20+,Any cardiovascular disease,5039,688,30,9.7433,0.6979,8.2557,11.2310,9.5750,15,2.1314,3.6155,1393.7
2005-2006,2005.5,Overall,All adults 20+,Any cardiovascular disease,4979,561,30,8.8086,0.4534,7.8423,9.7749,8.7602,15,2.1314,1.4774,3370.0
2007-2008,2007.5,Overall,All adults 20+,Any cardiovascular disease,5934,717,32,8.5751,0.5359,7.4390,9.7112,8.6495,16,2.1199,2.6948,2202.0
2009-2010,2009.5,Overall,All adults 20+,Any cardiovascular disease,6216,668,31,7.7631,0.4102,6.8935,8.6328,7.9815,16,2.1199,1.7371,3578.4
2011-2012,2011.5,Overall,All adults 20+,Any cardiovascular disease,5557,581,31,8.2621,0.3050,7.6186,8.9057,8.5045,17,2.1098,0.7892,7041.0
2013-2014,2013.5,Overall,All adults 20+,Any cardiovascular disease,5768,595,30,8.2543,0.4328,7.3318,9.1768,8.7544,15,2.1314,1.7408,3313.4
2015-2016,2015.5,Overall,All adults 20+,Any cardiovascular disease,5719,635,30,7.7002,0.3522,6.9495,8.4509,8.6534,15,2.1314,1.1209,5102.1
2017-2018,2017.5,Overall,All adults 20+,Any cardiovascular disease,5568,691,30,8.4073,0.4587,7.4296,9.3850,9.5688,15,2.1314,1.9012,2928.7
2021-2022,2022.6,Overall,All adults 20+,Any cardiovascular disease,7807,982,30,8.0334,0.3769,7.2301,8.8368,9.4036,15,2.1314,1.8889,4133.0
1999-2000,1999.5,Race and ethnicity,Mexican American,Any cardiovascular disease,1282,124,27,7.2875,0.5877,6.0270,8.5480,3.8125,14,2.1448,0.7412,1729.7
1999-2000,1999.5,Race and ethnicity,Non-Hispanic Black,Any cardiovascular disease,910,102,27,9.2933,1.0347,7.0741,11.5124,7.0041,14,2.1448,1.4197,641.0
1999-2000,1999.5,Race and ethnicity,Non-Hispanic White,Any cardiovascular disease,2214,298,27,8.8383,0.7337,7.2646,10.4119,8.9306,14,2.1448,1.8370,1205.3
1999-2000,1999.5,Race and ethnicity,Other Hispanic,Any cardiovascular disease,310,24,27,7.4376,0.8343,5.6481,9.2271,5.5631,14,2.1448,0.4023,770.6
2001-2002,2001.5,Race and ethnicity,Mexican American,Any cardiovascular disease,1113,74,30,7.2900,0.7554,5.6799,8.9001,3.4868,15,2.1314,0.9422,1181.3
2001-2002,2001.5,Race and ethnicity,Non-Hispanic Black,Any cardiovascular disease,1012,120,30,11.1627,1.0014,9.0282,13.2972,9.2030,15,2.1314,1.2111,835.6
2001-2002,2001.5,Race and ethnicity,Non-Hispanic White,Any cardiovascular disease,2858,413,30,8.6703,0.6395,7.3072,10.0335,8.9290,15,2.1314,1.9765,1446.0
2001-2002,2001.5,Race and ethnicity,Other Hispanic,Any cardiovascular disease,237,16,30,5.2737,1.0737,2.9851,7.5624,4.3016,15,2.1314,0.6464,366.6
2003-2004,2003.5,Race and ethnicity,Mexican American,Any cardiovascular disease,984,101,30,8.1978,0.7308,6.6401,9.7555,4.4846,15,2.1314,0.8304,1184.9
2003-2004,2003.5,Race and ethnicity,Non-Hispanic Black,Any cardiovascular disease,994,97,30,9.7095,0.7955,8.0138,11.4051,8.0623,15,2.1314,0.8501,1169.3
2003-2004,2003.5,Race and ethnicity,Non-Hispanic White,Any cardiovascular disease,2689,454,30,9.8104,0.7772,8.1537,11.4670,10.6634,15,2.1314,2.2824,1178.1
2003-2004,2003.5,Race and ethnicity,Other Hispanic,Any cardiovascular disease,152,7,30,2.8544,1.0376,0.6428,5.0661,2.4710,15,2.1314,0.5143,295.6
2005-2006,2005.5,Race and ethnicity,Mexican American,Any cardiovascular disease,1003,62,30,7.6629,0.6857,6.2015,9.1244,4.7798,15,2.1314,0.5871,1708.4
2005-2006,2005.5,Race and ethnicity,Non-Hispanic Black,Any cardiovascular disease,1123,136,30,11.3062,1.0577,9.0517,13.5608,9.5760,15,2.1314,1.4928,752.3
2005-2006,2005.5,Race and ethnicity,Non-Hispanic White,Any cardiovascular disease,2495,343,30,8.6265,0.5096,7.5403,9.7128,9.5604,15,2.1314,1.0532,2368.9
2005-2006,2005.5,Race and ethnicity,Other Hispanic,Any cardiovascular disease,154,6,30,3.8730,1.7242,0.1980,7.5479,3.2943,15,2.1314,0.5638,273.2
2007-2008,2007.5,Race and ethnicity,Mexican American,Any cardiovascular disease,1032,72,32,7.3039,0.6498,5.9264,8.6815,4.2265,16,2.1199,0.6748,1529.3
2007-2008,2007.5,Race and ethnicity,Non-Hispanic Black,Any cardiovascular disease,1227,158,32,10.9708,1.0758,8.6902,13.2514,9.7461,16,2.1199,1.6628,737.9
2007-2008,2007.5,Race and ethnicity,Non-Hispanic White,Any cardiovascular disease,2761,414,32,8.3060,0.6495,6.9291,9.6829,9.3489,16,2.1199,1.8611,1483.6
2007-2008,2007.5,Race and ethnicity,Other Hispanic,Any cardiovascular disease,666,51,32,6.2057,1.1440,3.7805,8.6309,4.8791,16,2.1199,1.7719,375.9
2009-2010,2009.5,Race and ethnicity,Mexican American,Any cardiovascular disease,1138,84,31,7.4443,0.9914,5.3426,9.5460,5.0984,16,2.1199,1.7919,635.1
2009-2010,2009.5,Race and ethnicity,Non-Hispanic Black,Any cardiovascular disease,1122,123,31,8.9977,0.6008,7.7240,10.2714,8.4947,16,2.1199,0.6000,1870.1
2009-2010,2009.5,Race and ethnicity,Non-Hispanic White,Any cardiovascular disease,2976,386,31,7.6433,0.5615,6.4530,8.8335,8.8055,16,2.1199,1.5741,1890.6
2009-2010,2009.5,Race and ethnicity,Other Hispanic,Any cardiovascular disease,632,47,31,7.2405,0.9128,5.3054,9.1755,4.4616,16,2.1199,0.8086,781.6
2011-2012,2011.5,Race and ethnicity,Mexican American,Any cardiovascular disease,540,41,31,9.7920,1.5847,6.4486,13.1353,5.2289,17,2.1098,1.4821,364.4
2011-2012,2011.5,Race and ethnicity,Non-Hispanic Black,Any cardiovascular disease,1455,167,31,10.4936,0.5718,9.2872,11.7000,9.5411,17,2.1098,0.5795,2510.8
2011-2012,2011.5,Race and ethnicity,Non-Hispanic White,Any cardiovascular disease,2040,266,31,7.9390,0.3222,7.2592,8.6187,9.0535,17,2.1098,0.3170,6434.9
2011-2012,2011.5,Race and ethnicity,Other Hispanic,Any cardiovascular disease,577,50,31,7.5907,1.1336,5.1990,9.9823,5.8954,17,2.1098,1.1264,512.2
2013-2014,2013.5,Race and ethnicity,Mexican American,Any cardiovascular disease,767,54,30,7.2461,0.7368,5.6756,8.8165,4.9542,15,2.1314,0.5301,1446.8
2013-2014,2013.5,Race and ethnicity,Non-Hispanic Black,Any cardiovascular disease,1177,128,30,9.0615,0.6266,7.7259,10.3972,8.4035,15,2.1314,0.6893,1707.4
2013-2014,2013.5,Race and ethnicity,Non-Hispanic White,Any cardiovascular disease,2471,325,30,8.3244,0.6612,6.9152,9.7336,10.0129,15,2.1314,1.6526,1495.2
2013-2014,2013.5,Race and ethnicity,Other Hispanic,Any cardiovascular disease,508,38,30,6.7642,1.1536,4.3053,9.2231,5.1276,15,2.1314,1.0712,474.3
2015-2016,2015.5,Race and ethnicity,Mexican American,Any cardiovascular disease,995,72,30,6.3965,0.3860,5.5737,7.2193,4.3466,15,2.1314,0.2949,3373.8
2015-2016,2015.5,Race and ethnicity,Non-Hispanic Black,Any cardiovascular disease,1198,149,30,10.5849,1.1918,8.0447,13.1252,10.1823,15,2.1314,2.0106,595.8
2015-2016,2015.5,Race and ethnicity,Non-Hispanic White,Any cardiovascular disease,1863,267,30,7.0094,0.4428,6.0657,7.9532,9.0356,15,2.1314,0.5965,3123.1
2015-2016,2015.5,Race and ethnicity,Other Hispanic,Any cardiovascular disease,768,85,30,8.8414,1.2772,6.1191,11.5637,6.6224,15,2.1314,1.7520,438.4
2017-2018,2017.5,Race and ethnicity,Mexican American,Any cardiovascular disease,735,53,30,6.2609,1.1609,3.7864,8.7354,4.2482,15,2.1314,1.5869,463.2
2017-2018,2017.5,Race and ethnicity,Non-Hispanic Black,Any cardiovascular disease,1298,162,30,9.2331,0.8503,7.4206,11.0455,9.2687,15,2.1314,1.3708,946.9
2017-2018,2017.5,Race and ethnicity,Non-Hispanic White,Any cardiovascular disease,1934,346,30,8.5507,0.6135,7.2430,9.8584,10.9811,15,2.1314,0.9261,2088.3
2017-2018,2017.5,Race and ethnicity,Other Hispanic,Any cardiovascular disease,517,45,30,7.7628,1.4380,4.6978,10.8279,5.9994,15,2.1314,1.5656,330.2
2021-2022,2022.6,Race and ethnicity,Mexican American,Any cardiovascular disease,545,37,30,6.4855,0.9722,4.4132,8.5578,4.9212,15,2.1314,0.8235,661.8
2021-2022,2022.6,Race and ethnicity,Non-Hispanic Black,Any cardiovascular disease,995,121,30,8.6709,1.0096,6.5190,10.8229,9.1996,15,2.1314,1.4966,664.8
2021-2022,2022.6,Race and ethnicity,Non-Hispanic White,Any cardiovascular disease,4554,621,30,7.9944,0.4644,7.0045,8.9843,10.6006,15,2.1314,1.6809,2709.2
2021-2022,2022.6,Race and ethnicity,Other Hispanic,Any cardiovascular disease,779,93,30,9.3915,1.0891,7.0702,11.7128,8.1486,15,2.1314,1.2825,607.4
1999-2000,1999.5,Age band,20-34,Any cardiovascular disease,1290,,,,,,,0.9397,,,,
1999-2000,1999.5,Age band,35-44,Any cardiovascular disease,820,,,,,,,2.1161,,,,
